MapMySectionsID,Genetics Tools Type,STPT Data File Path,STPT Thumbnail image,Neuroglancer File Path,CCF Registered Image File Path,Target_Cell_Population,Qualitative Image Assessment,ABC.NN,Astro.TE.NN,CLA.EPd.CTX.Car3.Glut,Endo.NN,L2.3.IT.CTX.Glut,L4.5.IT.CTX.Glut,L5.ET.CTX.Glut,L5.IT.CTX.Glut,L5.NP.CTX.Glut,L6.CT.CTX.Glut,L6.IT.CTX.Glut,L6b.CTX.Glut,Lamp5.Gaba,Lamp5.Lhx6.Gaba,Lymphoid.NN,Microglia.NN,OPC.NN,Oligo.NN,Peri.NN,Pvalb.Gaba,Pvalb.chandelier.Gaba,SMC.NN,Sncg.Gaba,Sst.Chodl.Gaba,Sst.Gaba,VLMC.NN,Vip.Gaba
MMS.training.1,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/763843341/ome_zarr_conversion/763843341.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/418072_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/418072_STPT.json,,,"strong, sparse, Neuron",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.2,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1268595361/ome_zarr_conversion/1268595361.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/673427_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/673427_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1268595361/1268595361.quantification.zip,L5_ET,"strong, dense, L5_Glutamatergic",0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMS.training.3,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/1248074966/ome_zarr_conversion/1248074966.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/657467_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/657467_STPT.json,,,"strong, dense, L6b_Glutamatergic; strong, sparse, L6b_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.4,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1186436039/ome_zarr_conversion/1186436039.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/623002_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/623002_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1186436039/1186436039.quantification.zip,Sst,"strong, dense, GABAergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.5,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1276908315/ome_zarr_conversion/1276908315.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/673441_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/673441_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1276908315/1276908315.quantification.zip,L6_IT_Car3,"weak, sparse, L6_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.6,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1202422101/ome_zarr_conversion/1202422101.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/634958_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/634958_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1202422101/1202422101.quantification.zip,Oligo,"strong, dense, Oligo",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0
MMS.training.7,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/1229395083/ome_zarr_conversion/1229395083.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/642050_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/642050_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1229395083/1229395083.quantification.zip,,"strong, sparse, Endo_Peri; strong, sparse, Neuron",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.8,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1229621578/ome_zarr_conversion/1229621578.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/651217_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/651217_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1229621578/1229621578.quantification.zip,L5_ET,"weak, sparse, L5_Glutamatergic",0,0,0,0,0,2,39,1,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
MMS.training.9,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1267996969/ome_zarr_conversion/1267996969.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/672235_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/672235_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1267996969/1267996969.quantification.zip,Lamp5_Lhx6,"strong, dense, GABAergic",0,0,1,0,0,0,0,0,0,0,2,1,18,1,0,0,0,0,0,21,1,0,2,1,26,0,0
MMS.training.10,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1285401055/ome_zarr_conversion/1285401055.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/688176_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/688176_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1285401055/1285401055.quantification.zip,L6_CT,"strong, sparse, L5_Glutamatergic; strong, sparse, L6b_Glutamatergic; weak, dense, L1; weak, dense, L6_Glutamatergic; weak, sparse, GABAergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
